수집일자,상품번호,리뷰ID,작성일,별점,체험단여부,리뷰타입,옵션,피부타입,피부톤,피부고민,도움수,유용점수,포토여부,재구매,닉네임,리뷰본문
2026-08-14,A000000183059,63237424,2026.07.24,5,1,OFFLINE,스윗 브리즈*2,A04,B05,"C02,C04",2,756.0,0,0,Imkm,풍성한 거품으로 두피와 모발을 깨끗하게 세정해주면서도 머릿결이 뻣뻣해지지 않았습니다. 향이 오래 지속되고 드라이 후에도 모발이 부드러워 만족스러웠어요. 손상모 관리용 샴푸로 추천합니다.
2026-08-14,A000000183059,63236369,2026.07.24,5,1,OFFLINE,스윗브리즈+로지+마스크40ml,A04,B05,"C02,C04",2,756.0,0,0,Imkm,"거품이 풍성하게 나서 두피까지 개운하게 세정되었습니다. 세정력이 좋지만 머릿결이 심하게 뻣뻣해지지 않았고, 트리트먼트와 함께 사용하니 모발이 훨씬 부드러워졌습니다. 향도 고급스러워 만족도가 높은 샴푸였습니다."
2026-08-14,A000000223414,63490144,2026.07.30,5,0,NORMAL,콜라겐 코어탄력 1매,A03,B06,C09,7,5130.0,1,0,치츠얌,메디힐 에센셜 마스크팩 콜라겐(코어 탄력)**은 탄력 저하와 건조함을 함께 관리하고 싶은 분들을 위한 시트 마스크입니다. 핵심 성분으로 순도 98% 저분자 비건 콜라겐을 담아 피부에 탄력감과 보습을 부여하는 데 초점을 맞춘 제품입니다.
2026-08-14,A000000223414,63490128,2026.07.30,5,0,NORMAL,마데카소사이드 흔적리페어 1매,A03,B06,C09,7,5130.0,1,0,치츠얌,"메디힐 에센셜 마스크팩  (마데카소사이드 흔적 리페어)**는 민감해진 피부를 진정시키면서 여드름 자국이나 붉은 흔적 케어에 초점을 맞춘 제품입니다. 순도 98% 마데카소사이드를 핵심 성분으로 사용하며, 민감성·건성 피부에도 사용할 수 있도록 설계되었습니다."
2026-08-14,A000000260521,63984867,2026.08.09,4,0,NORMAL,기획(크림 20g+5g*2),A01,,,3,1860.0,1,0,하울의오지는성,손등에 테스트 했을때 발림성이나 스며드는게 그닥이긴했는데요 다른거 구경하다가 손등에 발라둔거 잘 흡수됐나 만졌는데 아 글쎄 애기궁뎅이 같은 보들한느낌이 나서 겨울때 쓸려고 그자리에서 구매갈김. 기대되네요. 근데 비싼게 흠임;
2026-08-14,A000000260521,63931365,2026.08.08,5,0,NORMAL,기획(크림 20g(+5g*2)),A02,B03,"C08,C10",3,1800.0,0,0,마이폼푸,"크림미스트 써보고 즉각적으로 효과를 봐서 바로 크림 구매했어요!
크림도 진짜 잘 만드네요
적당히 꾸덕한데 그래도 흡수 잘 되는 편이고
열감 올라서 붉은 홍조가 볼에 올라올 때 발라주면 다음날 싹 가라앉아있어서 신기했어요 🫪
다만 본품 20g에 기획 10g 받아서 총 30g인데 대용량으로 내주고 세일 많이 해주면 좋겠어요 🥹🤍"
2026-08-14,A000000260521,63669532,2026.08.03,4,0,NORMAL,리쥬더마 EX 리페어링 크림 20g,A03,B01,C08,1,1674.0,1,0,쿼카레옹,리쥬란 제약사 제품이라고 해서 기대했는데 연고사이즈라 휴대하기좋고 급속진정이 꼭 필요할때 주로 사용하는데 오일리하지 않고 자극없이 진정이 잘 되는 것 같아서 잘 사용했어요
2026-08-14,A000000260521,63639015,2026.08.02,5,0,NORMAL,리쥬더마 EX 리페어링 크림 20g,A01,B03,"C01,C04",1,1674.0,1,0,돌콩콩,생각보다 각질잠재워지는데는 좋은데 붉은기 진정은 좀 덜되는듯
2026-08-14,A000000260521,63880412,2026.08.07,4,0,NORMAL,리쥬더마 EX 리페어링 크림 20g,A03,B03,C08,1,1512.0,1,0,샐리야,리쥬란 이름보고 구매했는데 연고모양 튜브타입이라 바르기 편하고 재생이 필요할때나 트러블이나 자극 받은 피부에 적용했을때 크게 자극없이 진정되는 느낌이라 괜찮았어요
2026-08-14,A000000260521,63667588,2026.08.03,5,0,NORMAL,리쥬더마 EX 리페어링 크림 20g,,,,2,1125.0,1,0,핫,"연고처럼 꾸덕한 제형이라 피부에 보호막을 씌워주는 느낌이 들어요. 자외선에 오래 노출됐거나 제모처럼 피부 자극이 있었던 날 듬뿍 발라주면 피부가 한결 편안해지고, 붉은기와 열감이 빠르게 진정되는 느낌이었습니다. 건조하거나 예민해진 날 응급 진정용으로 하나쯤 구비해두기 좋은 크림이에요."
2026-08-14,A000000260521,64152158,2026.08.13,5,0,NORMAL,기획(크림 20g(+5g*2)),A04,B01,"C05,C08",2,1080.0,1,0,오구리의하루,"여기서 나온 팩을 며칠전에 써보았다. 다른 팩들은 그래도 붙이자마자 살짝 자극(?)이있는 느낌을 받았는데.
정말 이건 1도 자극없이 솜사탕을 붙인것 처럼 편-안한 느낌을 받았다.
진짜 피부가 “나 너무 편해” 이런기분.
그래서 다른 라인도 사보았다.

주사피부염으로 너무 아프고 물만 닿아도 따갑다.
껍질이 벗겨지고 아프다. 여기꺼는 써도 안아프고 너무 편하다.
아직 크림이랑 미스트는 안써봤지만, 재생에 조금이라도 도움되길 바라는 간절한 마음으로 샀다.

한달 후기도 써야게따"
2026-08-14,A000000260521,63384876,2026.07.28,3,0,NORMAL,리쥬더마 EX 리페어링 크림 20g,A03,B01,"C01,C02",3,900.0,1,0,이다곰,"좀 꾸덕해서 연고처럼 바르면 될거같어요 사람마다 다르지만 저는 그냥 그랬던 거 같아요 한달 넘게 쓰면서 국소부위만 써보기도하고 전체를 써보기도했는데 국소부위 추천드려요 어떻게 사용할지 지금도 고민중인 고민템이라 별세개지만. 더 써보고 수정하러 올..께요  과아연 ㅎ

건성에추천이요"
2026-08-14,A000000260521,63094195,2026.07.21,5,0,NORMAL,리쥬더마 EX 리페어링 크림 20g,A02,B04,"C02,C03",1,900.0,1,0,vitabella02,피부 관리 후에 장벽을 개선시켜주는 크림이라고 해서 골랐었는데요. 제형은 유백색 크림 타입으로 꾸덕한 느낌인데 부드럽게 잘 펴발려요. 촉촉해서 건성 피부가 사용하기 좋았고 향료나 알레르기 성분이 없어서 민감 피부도 자극 없이 사용할 수 있어서 만족합니다.
2026-08-14,A000000260521,63413761,2026.07.28,5,0,NORMAL,기획(크림 20g+5g*2),A03,B02,"C01,C02",1,756.0,1,0,제로쓰,"헉 리쥬란에서 나왔다고 해서 믿고 구매했습니다!
진정 잘 돼서 다 쓰면 재구매하려했는데 판매종료 떠서 당황스럽네요ㅠㅠ"
